Window,Upstream,Downstream,Isolate,Type
0-500bp,0.0577903682719547,0.128045325779037,ARG_4_2,Effector
501-1000bp,0.135410764872521,0.154107648725212,ARG_4_2,Effector
1001-2000bp,0.202832861189802,0.155807365439093,ARG_4_2,Effector
2000+bp,0.110481586402266,0.0555240793201133,ARG_4_2,Effector
0-500bp,0.0668831168831169,0.127922077922078,Bgs_1459,Effector
501-1000bp,0.116883116883117,0.140909090909091,Bgs_1459,Effector
1001-2000bp,0.209090909090909,0.166883116883117,Bgs_1459,Effector
2000+bp,0.112337662337662,0.0590909090909091,Bgs_1459,Effector
0-500bp,0.0834305717619603,0.147607934655776,Bgtl_THUN_12,Effector
501-1000bp,0.124270711785298,0.152858809801634,Bgtl_THUN_12,Effector
1001-2000bp,0.190198366394399,0.149941656942824,Bgtl_THUN_12,Effector
2000+bp,0.104434072345391,0.0472578763127188,Bgtl_THUN_12,Effector
0-500bp,0.0801152737752161,0.138328530259366,CHN_17_40,Effector
501-1000bp,0.126801152737752,0.153314121037464,CHN_17_40,Effector
1001-2000bp,0.195389048991354,0.148126801152738,CHN_17_40,Effector
2000+bp,0.106051873198847,0.0518731988472623,CHN_17_40,Effector
0-500bp,0.0789324247586599,0.136854060193072,CHN_52_27,Effector
501-1000bp,0.120386144236229,0.15388983532084,CHN_52_27,Effector
1001-2000bp,0.205565019875071,0.14877910278251,CHN_52_27,Effector
2000+bp,0.103350369108461,0.0522430437251562,CHN_52_27,Effector
0-500bp,0.0569476082004556,0.126993166287016,IRN_GOR_2,Effector
501-1000bp,0.126423690205011,0.15375854214123,IRN_GOR_2,Effector
1001-2000bp,0.208997722095672,0.158883826879271,IRN_GOR_2,Effector
2000+bp,0.112756264236902,0.0552391799544419,IRN_GOR_2,Effector
0-500bp,0.0689655172413793,0.142022209234366,ISR_7,Effector
501-1000bp,0.126826417299825,0.146697837521917,ISR_7,Effector
1001-2000bp,0.20572764465225,0.153711279953244,ISR_7,Effector
2000+bp,0.106370543541788,0.0496785505552309,ISR_7,Effector
0-500bp,0.0721649484536082,0.139175257731959,Bgd_ISR_211,Effector
501-1000bp,0.123138602520046,0.160366552119129,Bgd_ISR_211,Effector
1001-2000bp,0.20504009163803,0.144329896907216,Bgd_ISR_211,Effector
2000+bp,0.101947308132875,0.0538373424971363,Bgd_ISR_211,Effector
0-500bp,0.0779661016949153,0.135593220338983,JPN_CHIKA,Effector
501-1000bp,0.123728813559322,0.156497175141243,JPN_CHIKA,Effector
1001-2000bp,0.2,0.155932203389831,JPN_CHIKA,Effector
2000+bp,0.106214689265537,0.0440677966101695,JPN_CHIKA,Effector
0-500bp,0.0579302587176603,0.128796400449944,USA_2,Effector
501-1000bp,0.132170978627672,0.155230596175478,USA_2,Effector
1001-2000bp,0.206974128233971,0.158605174353206,USA_2,Effector
2000+bp,0.110798650168729,0.0494938132733408,USA_2,Effector
0-500bp,0.0657453221862026,0.0683046124097139,ARG_4_2,Non-Effector
501-1000bp,0.0636978900073935,0.0709776488653813,ARG_4_2,Non-Effector
1001-2000bp,0.117897969629756,0.108798271057271,ARG_4_2,Non-Effector
2000+bp,0.256327134163681,0.248251151680601,ARG_4_2,Non-Effector
0-500bp,0.0693764379682615,0.0677836115863371,Bgs_1459,Non-Effector
