Gene	Fam	Cat
BgtAcSP-31373	E008	G1
BgtE-20066	E050	G1
BgtE-20114	E046	G1
Bgt-51548	E046	G1
Bgt-51549	E046	G1
BgtE-20022	E024	G1
Bgt-51365	E014	G1
BgtE-10002	E024	G1
BgtE-10005	E024	G1
BgtE-10122	E003	G1
BgtE-20041	E003	G1
Bgt-50236	E011	G1
Bgt-50237	E011	G1
Bgt-50239	E011	G1
Bgt-50243	E011	G1
BgtE-20072-2	E011	G1
Bgt-50032	E011	G1
Bgt-50035	E011	G1
Bgt-51738	E011	G1
Bgt-51737	E011	G1
Bgt-51736	E011	G1
Bgt-51735	E011	G1
Bgt-51729	E003	G1
Bgt-51731	E003	G1
BgtAcSP-31098	E003	G1
BgtE-5685	E003	G1
BgtE-5686	E003	G1
BgtA-20493	E046	G1
BgtE-20075	E025	G1
Bgt-51254	E025	G1
Bgt-51256	E025	G1
Bgt-51122	E003	G1
BgtE-6034	E003	G1
BgtE-20033	E003	G1
Bgt-51120	E003	G1
Bgt-51119	E003	G1
BgtE-20119	E003	G1
BgtE-20043	E003	G1
Bgt-51116	E003	G1
Bgt-51113	E003	G1
BgtE-5880	E042	G1
Bgt-51872	E036	G1
BgtE-5838	E042	G1
BgtE-5839	E042	G1
BgtAcSP-31175	E042	G1
BgtE-20042	E042	G1
Bgt-50773	E042	G1
Bgt-50693	E042	G1
Bgt-50480	E004	G1
BgtE-5912	E039	G1
Bgt-50481	E042	G1
BgtE-5836	E039	G1
BgtE-20055	E011	G1
BgtAcSP-30002	E066	G1
BgtE-3893	E012	G1
BgtE-20128	E066	G1
BgtAc-30001	E012	G1
Bgt-51066	E066	G1
Bgt-51067	E066	G1
BgtAc-30001-2	E012	G1
Bgt-51065	E012	G1
Bgt-51064	E012	G1
Bgt-51063	E012	G1
BgtE-5850	E004	G1
BgtE-10120	E004	G1
Bgt-20369	E004	G1
Bgt-51086	E004	G1
Bgt-51074	E004	G1
BgtE-20038	E004	G1
Bgt-20370	E004	G1
BgtE-5967	E004	G1
BgtA-21339	E012	G1
Bgt-50948	E008	G1
Bgt-50947	E008	G1
BgtAc-31552	E036	G1
BgtE-20050	E021	G1
Bgt-50162	E021	G1
BgtE-20101	E021	G1
BgtAc-30128	E036	G1
Bgt-50453	E008	G1
Bgt_avrF2_13	E008	G1
BgtE-5653	E036	G1
BgtAc-30857	E036	G1
BgtE-10100	E036	G1
BgtE-20064	E036	G1
BgtE-20001	E008	G1
BgtE-40011	E029	G1
BgtAcSP-31262	E004	G1
BgtE-20107	E029	G1
BgtE-5545	E029	G1
BgtE-5889	E029	G1
Bgt-50651	E029	G1
BgtAcSP-30848	E008	G1
BgtE-50667	E029	G1
BgtE-20061	E033	G1
Bgt_avrF2_20	E008	G1
Bgt-51533	E008	G1
Bgt_avrF2_20-2	E008	G1
BgtE-10117	E014	G1
BgtE-20000	E014	G1
Bgt-50025	E021	G1
BgtE-5974	E021	G1
BgtE-20100	E021	G1
BgtE-20051	E021	G1
Bgt-51327	E021	G1
BgtE-5909	E038	G1
BgtE-20087	E038	G1
BgtAc-31568	E011	G1
BgtE-10137	E038	G1
Bgt-50421	E050	G1
Bgt-50418	E050	G1
Bgt-50289	E050	G1
BgtE-20060	E033	G1
BgtE-5826	E050	G1
BgtE-20106	E025	G1
BgtE-10121	E025	G1
Bgt_BCG-3	E020	G1
Bgt_BCG-2	E020	G1
Bgt_BCG-1	E020	G1
Bgt_BCG-6	E020	G1
Bgt_BCG-9	E020	G1
Bgt_BCG-5	E020	G1
Bgt_BCG-7	E020	G1
Bgt_BCG-11	E020	G1
Bgt_BCG-10	E020	G1
Bgt_BCG-4	E020	G1
Bgt_BCG-8	E020	G1
Bgt_BCG-14	E020	G1
BgtE-5901	E014	G1
Bgt-51799	E003	G1
BgtE-20047	E003	G1
BgtE-20046	E003	G1
BgtE-20045	E003	G1
Bgt-51771	E003	G1
BgtE-10001	E030	G1
BgtE-5539	E032	G1
BgtE-20120	E032	G1
Bgt-501	E053	G1
BgtASP-21508	E053	G1
BgtASP-20340	E053	G1
BgtE-20086	E004	G1
BgtE-20025	E014	G1
BgtE-5665	E014	G1
BgtE-20026	E014	G1
BgtE-5979	E038	G1
Bgt-51504	E038	G1
Bgt-51503	E038	G1
BgtE-5664	E014	G1
Bgt-50038	E008	G1
Bgt-20382	E008	G1
BgtE-20063	E036	G1
BgtE-5918	E004	G1
BgtE-5919	E004	G1
BgtE-20035	E003	G1
BgtE-5867	E003	G1
BgtE-5710	E024	G1
BgtE-20037	E003	G1
Bgt-51912	E003	G1
